instance,name,num,seed,initial_ct,final_ct,time,solution_file
2_ton,tonge,2,14,1252.0,104,184.46915984153748,solutions/ils/2_ton_ils_seed14.txt
11_ton,tonge,11,10,1164.0,112,105.74723100662231,solutions/ils/11_ton_ils_seed10.txt
11_ton,tonge,11,11,1598.0,124,123.72237014770508,solutions/ils/11_ton_ils_seed11.txt
11_ton,tonge,11,12,2489.0,118,107.49437093734741,solutions/ils/11_ton_ils_seed12.txt
11_ton,tonge,11,13,2317.0,125,114.3578109741211,solutions/ils/11_ton_ils_seed13.txt
11_ton,tonge,11,14,1598.0,113,108.3810408115387,solutions/ils/11_ton_ils_seed14.txt
12_ton,tonge,12,10,977.0,117,108.03725814819336,solutions/ils/12_ton_ils_seed10.txt
12_ton,tonge,12,11,2253.0,123,119.44618701934814,solutions/ils/12_ton_ils_seed11.txt
12_ton,tonge,12,12,1224.0,123,115.93339776992798,solutions/ils/12_ton_ils_seed12.txt
12_ton,tonge,12,13,1835.0,120,105.37277412414551,solutions/ils/12_ton_ils_seed13.txt
12_ton,tonge,12,14,1220.0,124,119.21686506271362,solutions/ils/12_ton_ils_seed14.txt
41_ton,tonge,41,10,1954.0,33,268.4793357849121,solutions/ils/41_ton_ils_seed10.txt
41_ton,tonge,41,11,1954.0,38,268.94827008247375,solutions/ils/41_ton_ils_seed11.txt
41_ton,tonge,41,12,193.0,37,280.4219460487366,solutions/ils/41_ton_ils_seed12.txt
41_ton,tonge,41,13,1819.0,34,240.83847904205322,solutions/ils/41_ton_ils_seed13.txt
41_ton,tonge,41,14,1954.0,39,260.3728358745575,solutions/ils/41_ton_ils_seed14.txt
42_ton,tonge,42,10,978.0,41,242.50257921218872,solutions/ils/42_ton_ils_seed10.txt
42_ton,tonge,42,11,1224.0,43,243.12632703781128,solutions/ils/42_ton_ils_seed11.txt
42_ton,tonge,42,12,243.0,42,263.1682929992676,solutions/ils/42_ton_ils_seed12.txt
42_ton,tonge,42,13,1204.0,43,251.0979781150818,solutions/ils/42_ton_ils_seed13.txt
42_ton,tonge,42,14,1954.0,38,251.5622363090515,solutions/ils/42_ton_ils_seed14.txt
51_ton,tonge,51,10,1292.0,44,203.98094296455383,solutions/ils/51_ton_ils_seed10.txt
51_ton,tonge,51,11,2237.0,41,180.82681894302368,solutions/ils/51_ton_ils_seed11.txt
51_ton,tonge,51,12,1598.0,41,190.11873412132263,solutions/ils/51_ton_ils_seed12.txt
51_ton,tonge,51,13,1939.0,45,200.48789882659912,solutions/ils/51_ton_ils_seed13.txt
51_ton,tonge,51,14,1819.0,46,180.75214886665344,solutions/ils/51_ton_ils_seed14.txt
52_ton,tonge,52,10,1819.0,49,199.0994119644165,solutions/ils/52_ton_ils_seed10.txt
52_ton,tonge,52,11,635.0,49,207.33805298805237,solutions/ils/52_ton_ils_seed11.txt
52_ton,tonge,52,12,1220.0,46,197.8735706806183,solutions/ils/52_ton_ils_seed12.txt
52_ton,tonge,52,13,2109.0,50,184.29567408561707,solutions/ils/52_ton_ils_seed13.txt
52_ton,tonge,52,14,2109.0,54,202.90282487869263,solutions/ils/52_ton_ils_seed14.txt
61_ton,tonge,61,10,1224.0,76,262.46419286727905,solutions/ils/61_ton_ils_seed10.txt
61_ton,tonge,61,11,674.0,75,258.6409101486206,solutions/ils/61_ton_ils_seed11.txt
61_ton,tonge,61,12,2109.0,76,250.95715308189392,solutions/ils/61_ton_ils_seed12.txt
61_ton,tonge,61,13,1178.0,78,253.87100410461426,solutions/ils/61_ton_ils_seed13.txt
61_ton,tonge,61,14,585.0,76,264.2287082672119,solutions/ils/61_ton_ils_seed14.txt
62_ton,tonge,62,10,1178.0,79,249.04730606079102,solutions/ils/62_ton_ils_seed10.txt
62_ton,tonge,62,11,1204.0,80,273.2409510612488,solutions/ils/62_ton_ils_seed11.txt
62_ton,tonge,62,12,1819.0,77,266.08534598350525,solutions/ils/62_ton_ils_seed12.txt
62_ton,tonge,62,13,428.0,81,262.4964861869812,solutions/ils/62_ton_ils_seed13.txt
62_ton,tonge,62,14,1220.0,87,258.5726509094238,solutions/ils/62_ton_ils_seed14.txt
71_ton,tonge,71,10,1252.0,76,250.34531688690186,solutions/ils/71_ton_ils_seed10.txt
71_ton,tonge,71,11,2237.0,67,254.90146613121033,solutions/ils/71_ton_ils_seed11.txt
71_ton,tonge,71,12,229.0,63,245.80709385871887,solutions/ils/71_ton_ils_seed12.txt
71_ton,tonge,71,13,252.0,63,259.9830048084259,solutions/ils/71_ton_ils_seed13.txt
71_ton,tonge,71,14,1665.0,73,252.09325313568115,solutions/ils/71_ton_ils_seed14.txt
72_ton,tonge,72,10,840.0,71,256.8526451587677,solutions/ils/72_ton_ils_seed10.txt
72_ton,tonge,72,11,642.0,85,251.2759530544281,solutions/ils/72_ton_ils_seed11.txt
72_ton,tonge,72,12,1223.0,81,239.1994490623474,solutions/ils/72_ton_ils_seed12.txt
72_ton,tonge,72,13,1819.0,79,254.58061814308167,solutions/ils/72_ton_ils_seed13.txt
72_ton,tonge,72,14,307.0,74,247.38480401039124,solutions/ils/72_ton_ils_seed14.txt
1_wee,wee-mag,1,10,47.0,32,523.3858540058136,solutions/ils/1_wee_ils_seed10.txt
1_wee,wee-mag,1,11,298.0,28,504.2952618598938,solutions/ils/1_wee_ils_seed11.txt
1_wee,wee-mag,1,12,43.0,26,508.62459087371826,solutions/ils/1_wee_ils_seed12.txt
1_wee,wee-mag,1,13,58.0,28,488.66192984580994,solutions/ils/1_wee_ils_seed13.txt
1_wee,wee-mag,1,14,43.0,31,504.97536516189575,solutions/ils/1_wee_ils_seed14.txt
2_wee,wee-mag,2,10,200.0,29,496.6259071826935,solutions/ils/2_wee_ils_seed10.txt
2_wee,wee-mag,2,11,171.0,26,453.3318519592285,solutions/ils/2_wee_ils_seed11.txt
2_wee,wee-mag,2,12,51.0,28,468.31955194473267,solutions/ils/2_wee_ils_seed12.txt
2_wee,wee-mag,2,13,50.0,31,500.98951506614685,solutions/ils/2_wee_ils_seed13.txt
2_wee,wee-mag,2,14,42.0,26,389.2332980632782,solutions/ils/2_wee_ils_seed14.txt
11_wee,wee-mag,11,10,49.0,32,344.6739881038666,solutions/ils/11_wee_ils_seed10.txt
11_wee,wee-mag,11,11,584.0,33,371.6083300113678,solutions/ils/11_wee_ils_seed11.txt
11_wee,wee-mag,11,12,58.0,34,367.8871600627899,solutions/ils/11_wee_ils_seed12.txt
11_wee,wee-mag,11,13,173.0,34,356.36048793792725,solutions/ils/11_wee_ils_seed13.txt
11_wee,wee-mag,11,14,126.0,32,369.59574007987976,solutions/ils/11_wee_ils_seed14.txt
12_wee,wee-mag,12,10,339.0,35,309.33459424972534,solutions/ils/12_wee_ils_seed10.txt
12_wee,wee-mag,12,11,232.0,38,328.4731149673462,solutions/ils/12_wee_ils_seed11.txt
12_wee,wee-mag,12,12,158.0,34,304.81904315948486,solutions/ils/12_wee_ils_seed12.txt
12_wee,wee-mag,12,13,72.0,36,342.59834909439087,solutions/ils/12_wee_ils_seed13.txt
12_wee,wee-mag,12,14,67.0,37,318.9656629562378,solutions/ils/12_wee_ils_seed14.txt
41_wee,wee-mag,41,10,40.0,12,600.6163220405579,solutions/ils/41_wee_ils_seed10.txt
41_wee,wee-mag,41,11,29.0,11,584.4547128677368,solutions/ils/41_wee_ils_seed11.txt
41_wee,wee-mag,41,12,27.0,11,577.1033947467804,solutions/ils/41_wee_ils_seed12.txt
41_wee,wee-mag,41,13,33.0,12,581.9827129840851,solutions/ils/41_wee_ils_seed13.txt
41_wee,wee-mag,41,14,25.0,11,585.2278780937195,solutions/ils/41_wee_ils_seed14.txt
42_wee,wee-mag,42,10,29.0,12,556.0233793258667,solutions/ils/42_wee_ils_seed10.txt
42_wee,wee-mag,42,11,22.0,13,579.8113610744476,solutions/ils/42_wee_ils_seed11.txt
42_wee,wee-mag,42,12,45.0,12,575.8318920135498,solutions/ils/42_wee_ils_seed12.txt
42_wee,wee-mag,42,13,85.0,13,570.465637922287,solutions/ils/42_wee_ils_seed13.txt
42_wee,wee-mag,42,14,19.0,13,566.0518889427185,solutions/ils/42_wee_ils_seed14.txt
51_wee,wee-mag,51,10,267.0,15,424.7455327510834,solutions/ils/51_wee_ils_seed10.txt
51_wee,wee-mag,51,11,106.0,15,389.25841212272644,solutions/ils/51_wee_ils_seed11.txt
51_wee,wee-mag,51,12,42.0,14,430.59425020217896,solutions/ils/51_wee_ils_seed12.txt
51_wee,wee-mag,51,13,107.0,15,418.02534890174866,solutions/ils/51_wee_ils_seed13.txt
51_wee,wee-mag,51,14,35.0,14,389.269553899765,solutions/ils/51_wee_ils_seed14.txt
52_wee,wee-mag,52,10,36.0,13,429.1844599246979,solutions/ils/52_wee_ils_seed10.txt
